system   D            wsystem.c:583  maybe_parent_dir                 [   0.00070] Also searching C:\Users\WiLL\documents\visual studio 2012\Projects\Allegro\AllegroTest01\
display  D   display_settings.c:191  debug_display_settings           [   0.11509] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11510] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11511] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11512] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11513] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11514] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11515] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11517] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11518] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11519] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11520] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11521] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11522] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11523] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11524] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11526] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11526] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11528] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11529] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11530] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11531] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11532] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11533] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11534] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11535] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11536] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11537] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11539] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11540] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11541] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11542] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11543] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11544] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11545] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11546] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11548] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11549] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11550] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11551] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11552] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11555] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11557] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11558] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11559] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11560] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11561] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11562] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11564] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11565] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11566] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11567] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11568] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1640 d3d_create_display_internals     [   0.11584] Trying format 0.
d3d      I         d3d_disp.cpp:1325 d3d_display_thread_proc          [   0.11651] Chose a display format: 23
d3d      I         d3d_disp.cpp:1394 d3d_display_thread_proc          [   0.11654] Normal window.
d3d      I         d3d_disp.cpp:800  d3d_create_device                [   0.12600] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:865  d3d_create_device                [   0.23542] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:873  d3d_create_device                [   0.23545] Success
d3d      D         d3d_disp.cpp:1663 d3d_create_display_internals     [   0.23548] Resumed after wait.
d3d      I         d3d_disp.cpp:1696 d3d_create_display_internals     [   0.23550] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1719 d3d_create_display_internals     [   0.23553] Returning d3d_display: 00ED2020
d3d      D         d3d_disp.cpp:1744 d3d_create_display_locked        [   0.23555] al_display=00ED2020
d3d      D         d3d_disp.cpp:1745 d3d_create_display_locked        [   0.23556] al_display->vt=00ED1F58
d3d      I         d3d_disp.cpp:920  d3d_destroy_display              [  10.24147] destroying display 00ED2020 (current 00000000)
d3d      D         d3d_disp.cpp:904  d3d_destroy_display_internals    [  10.24152] waiting for display 00ED2020's thread to end
d3d      W         d3d_disp.cpp:616  d3d_destroy_device               [  10.24912] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1522 d3d_display_thread_proc          [  10.26474] d3d display thread exits
